,timestamp,foreperiod_start,foreperiod_end,response_received,subject,trial,test,requested_foreperiod,actual_foreperiod,response_time,note,tag,garbage_collection
0,2016-11-06 15:58:13,57982935,57986553,57986889,1,0,80,3607,3618,336,,,False
1,2016-11-06 15:58:18,57987896,57993327,57993584,1,1,80,5420,5431,257,,,False
2,2016-11-06 15:58:25,57994609,58004517,58005559,1,2,80,9826,9908,1042,minor_lapse,,False
3,2016-11-06 15:58:37,58006604,58011373,58011685,1,3,80,4760,4769,312,,,False
4,2016-11-06 15:58:43,58012704,58022088,58022437,1,4,80,9336,9384,349,,,False
5,2016-11-06 15:58:54,58023467,58026686,58026985,1,5,80,3207,3219,299,,,False
6,2016-11-06 15:58:58,58028001,58034358,58034721,1,6,80,6300,6357,363,,,False
7,2016-11-06 15:59:06,58035741,58042665,58043051,1,7,80,6886,6924,386,,,False
8,2016-11-06 15:59:15,58044064,58051198,58051532,1,8,80,7097,7134,334,,,False
9,2016-11-06 15:59:23,58052551,0,58054653,1,9,80,3145,0,-1043,false_start,,False
10,2016-11-06 15:59:26,58055657,58058562,58059119,1,10,80,2884,2905,557,minor_lapse,,False
11,2016-11-06 15:59:31,58060130,58065246,58065536,1,11,80,5027,5116,290,,,False
12,2016-11-06 15:59:37,58066591,58075424,58075735,1,12,80,8815,8833,311,,,False
13,2016-11-06 15:59:47,58076752,58082922,58083234,1,13,80,6154,6170,312,,,False
14,2016-11-06 15:59:55,58084259,58086467,58087041,1,14,80,2148,2208,574,minor_lapse,,False
15,2016-11-06 15:59:59,58088049,58097986,58098347,1,15,80,9893,9937,361,,,False
16,2016-11-06 16:00:10,58099359,58108729,58109024,1,16,80,9294,9370,295,,,False
17,2016-11-06 16:00:21,58110041,58116720,58117001,1,17,80,6663,6679,281,,,False
18,2016-11-06 16:00:29,58118069,58121020,58121439,1,18,80,2938,2951,419,,,False
19,2016-11-06 16:00:33,58122456,58129989,58130393,1,19,80,7516,7533,404,,,False
20,2016-11-06 16:00:42,58131417,58136573,58137149,1,20,80,5141,5156,576,minor_lapse,,False
21,2016-11-06 16:00:49,58138161,58142253,58142542,1,21,80,4079,4092,289,,,False
22,2016-11-06 16:00:54,58143562,58146860,58147242,1,22,80,3256,3298,382,,,False
23,2016-11-06 16:00:59,58148261,58158093,58158391,1,23,80,9767,9832,298,,,False
24,2016-11-06 16:01:10,58159407,58168485,58168770,1,24,80,9063,9078,285,,,False
25,2016-11-06 16:01:20,58169790,58177776,58178035,1,25,80,7945,7986,259,,,False
26,2016-11-06 16:01:30,58179050,58181147,58181489,1,26,80,2085,2097,342,,,False
27,2016-11-06 16:01:33,58182513,58192149,58192469,1,27,80,9619,9636,320,,,False
28,2016-11-06 16:01:44,58193493,58199906,58200208,1,28,80,6394,6413,302,,,False
29,2016-11-06 16:01:52,58201218,58206549,58206957,1,29,80,5252,5331,408,,,False
30,2016-11-06 16:01:58,58207997,58215464,58215794,1,30,80,7457,7467,330,,,False
31,2016-11-06 16:02:07,58216824,58223349,58223639,1,31,80,6513,6525,290,,,False
32,2016-11-06 16:02:15,58224661,58226855,58227222,1,32,80,2152,2194,367,,,False
33,2016-11-06 16:02:19,58228234,58232376,58232654,1,33,80,4125,4142,278,,,False
34,2016-11-06 16:02:24,58233661,58242380,58242697,1,34,80,8709,8719,317,,,False
35,2016-11-06 16:02:34,58243730,58252087,58252368,1,35,80,8338,8357,281,,,False
36,2016-11-06 16:02:44,58253403,58261925,58262231,1,36,80,8483,8522,306,,,False
37,2016-11-06 16:02:54,58263244,58272937,58273217,1,37,80,9639,9693,280,,,False
38,2016-11-06 16:03:05,58274229,58277810,58278295,1,38,80,3496,3581,485,,,False
39,2016-11-06 16:03:10,58279319,58281629,58281954,1,39,80,2273,2310,325,,,False
40,2016-11-06 10:07:52,46095298,46098205,46098581,1,0,77,2850,2907,376,,,False
41,2016-11-06 10:07:57,46099602,46107399,46107704,1,1,77,7751,7797,305,,,False
42,2016-11-06 10:08:06,46108715,46111019,46111358,1,2,77,2246,2304,339,,,False
43,2016-11-06 10:08:09,46112368,46115273,46115557,1,3,77,2804,2905,284,,,False
44,2016-11-06 10:08:14,46116567,46125390,46125681,1,4,77,8764,8823,291,,,False
45,2016-11-06 10:08:24,46126705,46129976,46130351,1,5,77,3222,3271,375,,,False
46,2016-11-06 10:08:28,46131380,46137730,46138019,1,6,77,6288,6350,289,,,False
47,2016-11-06 10:08:36,46139042,46143200,46143487,1,7,77,4144,4158,287,,,False
48,2016-11-06 10:08:42,46144507,46153298,46153621,1,8,77,8729,8791,323,,,False
49,2016-11-06 10:08:52,46154630,46163688,46163981,1,9,77,8996,9058,293,,,False
50,2016-11-06 10:09:02,46165006,46173785,46174303,1,10,77,8717,8779,518,minor_lapse,,False
